id,source,probA,probB,probC,probD,answer,time,error,sources,ids,similarity,confident,add_ids
0.0,MEDMCQA,0.488856703042984,0.04547075927257538,0.08495055884122849,0.3807219862937927,3,0.6344833374023438,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468502519162356417, 468502519163152466, 468502519163677955, 468502519163659326, 468502519162357546]","[0.7015731930732727, 0.7308184504508972, 0.7286089658737183, 0.7728725075721741, 0.7045883536338806]",4,"[468502519162471794, 468502519162381694, 468502519162960067, 468502519162909400, 468502519162899347, 468502519162743559, 468502519162743588, 468502519162357546, 468502519162478807, 468502519163659326, 468502519162743559, 468502519163918742, 468502519162743588, 468502519163677955, 468502519162743589, 468502519162743588, 468502519162743559, 468502519163677955, 468502519162357546, 468502519162946843]"
1.0,MEDMCQA,0.9987524747848511,0.00033504414022900164,0.0007092884043231606,0.00020321454212535173,0,0.16614913940429688,False,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468502519162697709, 468502519162968323, 468502519162868945, 468502519162968330, 468502519162968331]","[0.8038607239723206, 0.7917578816413879, 0.8076399564743042, 0.7635882496833801, 0.7700004577636719]",1,"[-1, -1, -1, -1, -1]"
2.0,MEDMCQA,0.015832560136914253,0.8644284605979919,0.1169876679778099,0.0027512863744050264,1,0.23093104362487793,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519163929025, 468502519163207920, 468502519163284650, 468502519163188050, 468502519162436810]","[0.727733850479126, 0.7330549359321594, 0.7313326001167297, 0.7311891913414001, 0.7474445700645447]",1,"[-1, -1, -1, -1, -1]"
3.0,MEDMCQA,0.8324344754219055,0.06030135229229927,0.046962738037109375,0.06030135229229927,2,0.31792616844177246,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162975642, 468502519163479775, 468502519163047454, 468502519163289130, 468502519163178238]","[0.7885847091674805, 0.7954401969909668, 0.802266001701355, 0.7988027334213257, 0.7967373132705688]",1,"[-1, -1, -1, -1, -1]"
4.0,MEDMCQA,0.206774041056633,0.01923298090696335,0.05228066444396973,0.7217122912406921,3,0.41115784645080566,False,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162381387, 468502519162313414, 468502519162313563, 468502519162307675, 468502519162313412]","[0.7991638779640198, 0.7914852499961853, 0.7958880066871643, 0.8003636002540588, 0.825505793094635]",1,"[-1, -1, -1, -1, -1]"
5.0,MEDMCQA,0.9999979734420776,1.760342797751946e-06,1.125349484709659e-07,1.637373969742839e-07,0,0.3301873207092285,False,"['PBMD', 'TEXT', 'PBMD', 'STAT', 'PBMD']","[468502519163836481, 468502519162329772, 468502519163839522, 468502519162949172, 468502519163832239]","[0.7748363614082336, 0.7681911587715149, 0.7889091968536377, 0.7525442242622375, 0.7497938871383667]",1,"[-1, -1, -1, -1, -1]"
6.0,MEDMCQA,0.10371404141187668,0.10371404141187668,0.026223016902804375,0.7663488984107971,1,0.3026297092437744,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163688134, 468502519163402058, 468502519163546725, 468502519163529517, 468502519163117830]","[0.7322907447814941, 0.723412036895752, 0.7286182641983032, 0.7239532470703125, 0.7323384881019592]",1,"[-1, -1, -1, -1, -1]"
7.0,MEDMCQA,0.2117060422897339,0.2117060422897339,0.44818171858787537,0.12840621173381805,1,1.3668172359466553,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163823538, 468502519163669190, 468502519163692527, 468502519163593707, 468502519163531524]","[0.7174593210220337, 0.7244766354560852, 0.7045899033546448, 0.7024155259132385, 0.7107599377632141]",4,"[468502519163955349, 468502519163704482, 468502519163910199, 468502519163162170, 468502519163965163, 468502519163955349, 468502519163786392, 468502519163162170, 468502519163910199, 468502519163558914, 468502519163162170, 468502519163965163, 468502519163558914, 468502519163910199, 468502519163704482, 468502519163162170, 468502519163910199, 468502519163965163, 468502519163558914, 468502519163447322]"
8.0,MEDMCQA,0.060994572937488556,0.008254717104136944,0.8420040607452393,0.0887465700507164,2,0.774315595626831,False,"['STAT', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519162457943, 468502519162788370, 468502519163119491, 468502519162457940, 468502519162457929]","[0.8049830198287964, 0.8174548745155334, 0.8424609303474426, 0.8103270530700684, 0.8097202777862549]",3,"[468502519163119491, 468502519163114899, 468502519162788386, 468502519163123170, 468502519163589756, 468502519162788386, 468502519163119491, 468502519163139902, 468502519163708853, 468502519163692609, 468502519162788386, 468502519163973464, 468502519162457940, 468502519163708853, 468502519163904618]"
9.0,MEDMCQA,0.02728760987520218,0.04498966038227081,0.02408123016357422,0.9036415219306946,1,0.23877644538879395,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163468483, 468502519163202567, 468502519163768623, 468502519163375824, 468502519163494477]","[0.7796214818954468, 0.7555466294288635, 0.7564749121665955, 0.7858111262321472, 0.7689605355262756]",1,"[-1, -1, -1, -1, -1]"
10.0,MEDMCQA,0.00023046437127050012,0.9995858073234558,7.482082583010197e-05,0.00010886365635087714,1,0.3154754638671875,False,"['STAT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162891895, 468502519162354559, 468502519162333467, 468502519162298364, 468502519162382505]","[0.802100658416748, 0.8086000680923462, 0.797115683555603, 0.7907549738883972, 0.8086575269699097]",1,"[-1, -1, -1, -1, -1]"
11.0,MEDMCQA,0.9708406925201416,0.013848298229277134,0.0030899732373654842,0.012221081182360649,0,0.3224453926086426,False,"['STAT', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468502519162798284, 468502519163504648, 468502519163247987, 468502519162298341, 468502519163896842]","[0.7946306467056274, 0.7990819215774536, 0.808491587638855, 0.8119333982467651, 0.8105829954147339]",1,"[-1, -1, -1, -1, -1]"
12.0,MEDMCQA,0.038860201835632324,0.012616059742867947,0.884454071521759,0.06406964361667633,2,0.254502534866333,False,"['STAT', 'TEXT', 'TEXT', 'STAT', 'STAT']","[468502519162922268, 468502519162388580, 468502519162388582, 468502519162768013, 468502519162798058]","[0.7911324501037598, 0.7801675796508789, 0.7676313519477844, 0.7964503765106201, 0.7793976068496704]",1,"[-1, -1, -1, -1, -1]"
13.0,MEDMCQA,0.20503416657447815,0.06656485050916672,0.09685128927230835,0.6315497159957886,3,0.5256288051605225,False,"['TEXT', 'PBMD', 'STAT', 'STAT', 'TEXT']","[468502519162296532, 468502519163203813, 468502519162912100, 468502519162770137, 468502519162296007]","[0.7481134533882141, 0.7468506097793579, 0.7503101825714111, 0.745175838470459, 0.7224156260490417]",2,"[468502519162296532, 468502519162912103, 468502519163203813, 468502519162849492, 468502519162912100, 468502519163203813, 468502519162849492, 468502519162912103, 468502519162296532, 468502519162912100]"
14.0,MEDMCQA,7.484464003937319e-05,2.2601122964260867e-06,0.9999039173126221,1.8923687093774788e-05,2,0.3232402801513672,False,"['STAT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162429794, 468502519163859029, 468502519162704248, 468502519163856719, 468502519163838695]","[0.7597679495811462, 0.7469502091407776, 0.7645808458328247, 0.752166748046875, 0.7403271794319153]",1,"[-1, -1, -1, -1, -1]"
