id,source,probA,probB,probC,probD,answer,time,error,sources,ids,similarity
0.0,MEDMCQA,5.0936655497935135e-06,4.495143912208732e-06,3.2377308798459126e-06,0.9999871253967285,3,5.007655620574951,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'TEXT']","[468502519162356417, 468502519163152466, 468502519163677955, 468502519163659326, 468502519162357546]","[0.7015731930732727, 0.7308184504508972, 0.7286089658737183, 0.7728725075721741, 0.7045883536338806]"
1.0,MEDMCQA,0.9999853372573853,6.438984655687818e-06,1.4144573015073547e-06,6.747997758793645e-06,0,3.6985673904418945,False,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468502519162697709, 468502519162968323, 468502519162868945, 468502519162968330, 468502519162968331]","[0.8038607239723206, 0.7917578816413879, 0.8076399564743042, 0.7635882496833801, 0.7700004577636719]"
2.0,MEDMCQA,8.28427291708067e-05,0.9998708963394165,2.546376344980672e-05,2.0782919818884693e-05,1,4.547160625457764,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'STAT']","[468502519163929025, 468502519163207920, 468502519163284650, 468502519163188050, 468502519162436810]","[0.727733850479126, 0.7330549359321594, 0.7313326001167297, 0.7311891913414001, 0.7474445700645447]"
3.0,MEDMCQA,0.9998676776885986,7.253928197314963e-05,3.1690065952716395e-05,2.7966383640887216e-05,2,6.3404059410095215,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162975642, 468502519163479775, 468502519163047454, 468502519163289130, 468502519163178238]","[0.7885847091674805, 0.7954401969909668, 0.802266001701355, 0.7988027334213257, 0.7967373132705688]"
4.0,MEDMCQA,4.7850639930402394e-06,3.3931187317648437e-06,2.857292429325753e-06,0.9999889135360718,3,6.278690814971924,False,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162381387, 468502519162313414, 468502519162313563, 468502519162307675, 468502519162313412]","[0.7991638779640198, 0.7914852499961853, 0.7958880066871643, 0.8003636002540588, 0.825505793094635]"
5.0,MEDMCQA,0.9999963045120239,2.2959159196034307e-06,1.914280716164285e-07,1.1726391448974027e-06,0,4.50450873374939,False,"['PBMD', 'TEXT', 'PBMD', 'STAT', 'PBMD']","[468502519163836481, 468502519162329772, 468502519163839522, 468502519162949172, 468502519163832239]","[0.7748363614082336, 0.7681911587715149, 0.7889091968536377, 0.7525442242622375, 0.7497938871383667]"
6.0,MEDMCQA,3.814981482719304e-06,6.894559646752896e-06,1.6027938727347646e-06,0.9999877214431763,1,3.2246241569519043,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163688134, 468502519163402058, 468502519163546725, 468502519163529517, 468502519163117830]","[0.7322907447814941, 0.723412036895752, 0.7286182641983032, 0.7239532470703125, 0.7323384881019592]"
7.0,MEDMCQA,0.9660132527351379,0.013355490751564503,0.004010045435279608,0.016621176153421402,1,6.497260093688965,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163823538, 468502519163669190, 468502519163692527, 468502519163593707, 468502519163531524]","[0.7174593210220337, 0.7244766354560852, 0.7045899033546448, 0.7024155259132385, 0.7107599377632141]"
8.0,MEDMCQA,2.709101499931421e-05,3.5889766877517104e-05,0.9993168115615845,0.0006202121148817241,2,5.993062496185303,False,"['STAT', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519162457943, 468502519162788370, 468502519163119491, 468502519162457940, 468502519162457929]","[0.8049830198287964, 0.8174548745155334, 0.8424609303474426, 0.8103270530700684, 0.8097202777862549]"
9.0,MEDMCQA,9.169429540634155e-05,6.698678771499544e-05,1.6698772014933638e-05,0.9998247027397156,1,7.5093770027160645,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163468483, 468502519163202567, 468502519163768623, 468502519163375824, 468502519163494477]","[0.7796214818954468, 0.7555466294288635, 0.7564749121665955, 0.7858111262321472, 0.7689605355262756]"
10.0,MEDMCQA,1.2029554454784375e-05,0.9999809265136719,3.84487657356658e-06,3.1875147215032484e-06,1,4.437266826629639,False,"['STAT', 'TEXT', 'TEXT', 'TEXT', 'TEXT']","[468502519162891895, 468502519162354559, 468502519162333467, 468502519162298364, 468502519162382505]","[0.802100658416748, 0.8086000680923462, 0.797115683555603, 0.7907549738883972, 0.8086575269699097]"
11.0,MEDMCQA,0.9999593496322632,2.8409394872142002e-05,1.602748397999676e-06,1.0782990102597978e-05,0,5.188005208969116,False,"['STAT', 'PBMD', 'PBMD', 'TEXT', 'PBMD']","[468502519162798284, 468502519163504648, 468502519163247987, 468502519162298341, 468502519163896842]","[0.7946306467056274, 0.7990819215774536, 0.808491587638855, 0.8119333982467651, 0.8105829954147339]"
12.0,MEDMCQA,1.4060838111618068e-05,1.6697656974429265e-05,0.9997579455375671,0.00021134174312464893,2,6.879513502120972,False,"['STAT', 'TEXT', 'TEXT', 'STAT', 'STAT']","[468502519162922268, 468502519162388580, 468502519162388582, 468502519162768013, 468502519162798058]","[0.7911324501037598, 0.7801675796508789, 0.7676313519477844, 0.7964503765106201, 0.7793976068496704]"
13.0,MEDMCQA,0.0003858701675198972,0.00017122885037679225,7.725429895799607e-05,0.9993656277656555,3,6.821241140365601,False,"['TEXT', 'PBMD', 'STAT', 'STAT', 'TEXT']","[468502519162296532, 468502519163203813, 468502519162912100, 468502519162770137, 468502519162296007]","[0.7481134533882141, 0.7468506097793579, 0.7503101825714111, 0.745175838470459, 0.7224156260490417]"
14.0,MEDMCQA,2.40604435930436e-06,1.0615965038596187e-05,0.9999734163284302,1.363116916763829e-05,2,5.430116653442383,False,"['STAT', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519162429794, 468502519163859029, 468502519162704248, 468502519163856719, 468502519163838695]","[0.7597679495811462, 0.7469502091407776, 0.7645808458328247, 0.752166748046875, 0.7403271794319153]"
15.0,MEDMCQA,0.0004676104581449181,0.000602185376919806,0.9294629096984863,0.06946735084056854,2,4.801323175430298,False,"['TEXT', 'TEXT', 'PBMD', 'TEXT', 'STAT']","[468502519162297153, 468502519162299536, 468502519163261465, 468502519162297154, 468502519162492538]","[0.8137187957763672, 0.8347001075744629, 0.7619031667709351, 0.8007798194885254, 0.7570984363555908]"
16.0,MEDMCQA,0.999735414981842,7.997005013749003e-05,2.7257563033344923e-06,0.00018180618644692004,3,3.5866317749023438,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163120586, 468502519163351751, 468502519163113795, 468502519163742816, 468502519163670397]","[0.7633274793624878, 0.7751375436782837, 0.7503848075866699, 0.7439661622047424, 0.7859328985214233]"
17.0,MEDMCQA,0.0006785846780985594,0.0006674120668321848,0.9984452128410339,0.0002087836037389934,0,5.448360919952393,False,"['PBMD', 'PBMD', 'STAT', 'PBMD', 'PBMD']","[468502519163434923, 468502519163433240, 468502519162963711, 468502519163114220, 468502519163114219]","[0.7979660630226135, 0.7973170280456543, 0.8127598762512207, 0.8058502674102783, 0.8178979158401489]"
18.0,MEDMCQA,4.289259777578991e-06,1.1125493074359838e-05,0.9999785423278809,6.0488255257951096e-06,2,5.307655096054077,False,"['STAT', 'STAT', 'STAT', 'PBMD', 'PBMD']","[468502519162767372, 468502519162767370, 468502519162937509, 468502519163809911, 468502519163117315]","[0.8023107647895813, 0.7868649959564209, 0.7630025148391724, 0.7688966989517212, 0.7799215912818909]"
19.0,MEDMCQA,0.9996525049209595,5.648149090120569e-05,9.815012163016945e-06,0.0002812887541949749,0,5.246849536895752,False,"['STAT', 'STAT', 'STAT', 'STAT', 'TEXT']","[468502519162694704, 468502519162694699, 468502519162694716, 468502519162437613, 468502519162296174]","[0.78122878074646, 0.7990072965621948, 0.8082062602043152, 0.787500262260437, 0.7688001394271851]"
20.0,MEDMCQA,6.5403064581914805e-06,8.203381185012404e-06,1.18198568088701e-05,0.9999734163284302,3,5.392469644546509,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163159211, 468502519163153491, 468502519163706387, 468502519163612997, 468502519163146181]","[0.774266242980957, 0.7727633118629456, 0.7328965067863464, 0.7354738712310791, 0.7393028140068054]"
21.0,MEDMCQA,3.231787559343502e-05,9.66575498750899e-06,4.2891533666988835e-06,0.9999537467956543,0,5.231695890426636,False,"['PBMD', 'PBMD', 'TEXT', 'PBMD', 'PBMD']","[468502519163432765, 468502519163436041, 468502519162399115, 468502519163120017, 468502519163137499]","[0.696275532245636, 0.7076160311698914, 0.6788643598556519, 0.6756925582885742, 0.6610279083251953]"
22.0,MEDMCQA,0.9999940395355225,4.092903054697672e-06,2.0377366638513195e-07,1.653682488722552e-06,0,4.89365029335022,False,"['STAT', 'PBMD', 'PBMD', 'STAT', 'PBMD']","[468502519162872310, 468502519163805602, 468502519163960062, 468502519162799655, 468502519163686927]","[0.8108389973640442, 0.8193299770355225, 0.8569070100784302, 0.8227403163909912, 0.8257126808166504]"
23.0,MEDMCQA,5.255375072010793e-06,0.9999908208847046,9.422368520972668e-07,2.994422402480268e-06,1,5.189306735992432,False,"['STAT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162904112, 468502519163863627, 468502519163799054, 468502519163953230, 468502519163366850]","[0.7630997896194458, 0.7736937403678894, 0.7588418126106262, 0.7695437669754028, 0.7759968042373657]"
24.0,MEDMCQA,1.1478194210212678e-05,3.5912093153456226e-05,1.4063377420825418e-05,0.9999384880065918,2,5.006597280502319,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163119481, 468502519163530222, 468502519163133224, 468502519163644501, 468502519163431928]","[0.6600440740585327, 0.6679519414901733, 0.6765508055686951, 0.6503129601478577, 0.6785206198692322]"
25.0,MEDMCQA,3.905468929588096e-06,2.9480027023964794e-06,7.934442010082421e-07,0.9999923706054688,3,5.668987274169922,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163434278, 468502519163116896, 468502519163445111, 468502519163119211, 468502519163433643]","[0.7833683490753174, 0.7571179866790771, 0.7425083518028259, 0.7593362927436829, 0.7405666708946228]"
26.0,MEDMCQA,0.9999804496765137,1.280538799619535e-05,1.2482480542530539e-06,5.550724836211884e-06,0,5.096336126327515,False,"['PBMD', 'STAT', 'PBMD', 'STAT', 'STAT']","[468502519163405234, 468502519162727734, 468502519163170915, 468502519162921547, 468502519162779781]","[0.759714663028717, 0.7550870180130005, 0.7604835629463196, 0.7599343657493591, 0.7496060132980347]"
27.0,MEDMCQA,0.9996434450149536,9.239672363037243e-05,7.643869139428716e-06,0.00025661473046056926,0,5.9350152015686035,False,"['PBMD', 'STAT', 'STAT', 'STAT', 'PBMD']","[468502519163322456, 468502519162830152, 468502519162929050, 468502519162929051, 468502519163915084]","[0.765644907951355, 0.750293493270874, 0.7745324373245239, 0.7879230976104736, 0.7468991875648499]"
28.0,MEDMCQA,6.536842647619778e-06,4.830109537579119e-05,0.9994438290596008,0.0005013467743992805,2,7.646122932434082,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163035830, 468502519163944163, 468502519163964254, 468502519163772915, 468502519163784771]","[0.76926589012146, 0.778743326663971, 0.7612187266349792, 0.7808343768119812, 0.7612391114234924]"
