id,source,probA,probB,probC,probD,probE,answer,time,error,sources,ids,similarity
0,MEDQA,0.032762929797172546,0.6580610275268555,0.12957990169525146,0.032762929797172546,0.14683327078819275,2,0.1150808334350586,False,"['TEXT', 'TEXT', 'STAT', 'STAT', 'STAT']","[468502519162419238, 468502519162419239, 468502519162804824, 468502519162725956, 468502519162492106]","[0.788301944732666, 0.7805894613265991, 0.776858925819397, 0.767785906791687, 0.7583302855491638]"
1,MEDQA,0.13417626917362213,0.03844214975833893,0.3647289276123047,0.049360692501068115,0.4132920205593109,4,0.14589881896972656,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163723351, 468502519163606375, 468502519163312036, 468502519163762620, 468502519163441367]","[0.834932267665863, 0.8342662453651428, 0.8275736570358276, 0.8275304436683655, 0.8165282011032104]"
2,MEDQA,0.0024283265229314566,0.0018911825027316809,0.9796567559242249,0.005140766967087984,0.01088300347328186,2,0.21963238716125488,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163673222, 468502519163769880, 468502519163720392, 468502519163751093, 468502519163576601]","[0.8076310753822327, 0.8001102209091187, 0.7893139123916626, 0.7875930070877075, 0.7865031957626343]"
3,MEDQA,0.430087149143219,0.20315878093242645,0.031155409291386604,0.040004339069128036,0.29559430480003357,3,0.23073863983154297,False,"['PBMD', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519163446465, 468502519163704310, 468502519163345479, 468502519163932367, 468502519163013377]","[0.8055936098098755, 0.7991694211959839, 0.7986013889312744, 0.7949286103248596, 0.7905656695365906]"
4,MEDQA,0.08166109770536423,0.6033984422683716,0.19589479267597198,0.0925341546535492,0.026511477306485176,1,0.19715309143066406,False,"['PBMD', 'PBMD', 'STAT', 'STAT', 'PBMD']","[468502519163533636, 468502519163032817, 468502519162487888, 468502519162717305, 468502519163242475]","[0.7737945318222046, 0.7708463072776794, 0.7694876194000244, 0.769107460975647, 0.7683610916137695]"
5,MEDQA,0.04319978505373001,0.0628553107380867,0.596354603767395,0.015892311930656433,0.28169795870780945,4,0.16053509712219238,False,"['STAT', 'TEXT', 'PBMD', 'TEXT', 'TEXT']","[468502519162729014, 468502519162389975, 468502519163671435, 468502519162391079, 468502519162390966]","[0.8038643598556519, 0.8000071048736572, 0.7974380850791931, 0.7916744947433472, 0.7912205457687378]"
6,MEDQA,0.9047486782073975,0.03095879592001438,0.021277649328112602,0.03975188359618187,0.003263033227995038,3,0.14532136917114258,False,"['PBMD', 'STAT', 'PBMD', 'TEXT', 'PBMD']","[468502519163659397, 468502519162822440, 468502519163769161, 468502519162390570, 468502519163290333]","[0.7899453639984131, 0.7860835790634155, 0.7848947048187256, 0.7754257917404175, 0.7712410688400269]"
7,MEDQA,0.0034708657767623663,0.0064844307489693165,0.9623748660087585,0.01211451180279255,0.01555534079670906,2,0.21610522270202637,False,"['PBMD', 'TEXT', 'PBMD', 'PBMD', 'STAT']","[468502519163584491, 468502519162390969, 468502519163822394, 468502519163805145, 468502519162925215]","[0.8141250610351562, 0.8096979856491089, 0.8044015765190125, 0.803132176399231, 0.8019687533378601]"
8,MEDQA,0.04620876908302307,0.006253676954656839,0.9281279444694519,0.010310569778084755,0.009099045768380165,2,0.16140508651733398,False,"['TEXT', 'PBMD', 'PBMD', 'PBMD', 'PBMD']","[468502519162375245, 468502519163700057, 468502519163644192, 468502519163095042, 468502519163428675]","[0.7888336777687073, 0.782686173915863, 0.7816075086593628, 0.7790505290031433, 0.7783747911453247]"
9,MEDQA,0.45043516159057617,0.24110057950019836,0.2127705067396164,0.0418969988822937,0.053796809166669846,0,0.10586929321289062,False,"['PBMD', 'STAT', 'PBMD', 'STAT', 'PBMD']","[468502519163940305, 468502519162728890, 468502519163482315, 468502519162810196, 468502519163794055]","[0.7657967209815979, 0.7571095824241638, 0.7565582990646362, 0.7507055997848511, 0.7488006949424744]"
