id,subject,probA,probB,probC,probD,result,answer,time,split,sources,ids,similarity,confident,add_ids
3,anatomy,0.0031585693359375,0.9921875,0.0035858154296875,0.000377655029296875,True,B,0.2524871826171875,mmlu_4,"['STAT', 'STAT', 'STAT', 'TEXT', 'STAT']","[468043370482951910, 468043370482957985, 468043370482507367, 468043370482370325, 468043370482951907]","[0.7457496523857117, 0.7284287214279175, 0.7590359449386597, 0.7288634777069092, 0.7438313961029053]",1,"[-1, -1, -1, -1, -1]"
8,anatomy,0.007080078125,0.00244140625,0.984375,0.004302978515625,True,C,0.25089550018310547,mmlu_4,"['TEXT', 'STAT', 'TEXT', 'STAT', 'TEXT']","[468043370482474574, 468043370482859037, 468043370482419164, 468043370483018066, 468043370482474596]","[0.8366358280181885, 0.8206260204315186, 0.8004451990127563, 0.8249460458755493, 0.806998610496521]",1,"[-1, -1, -1, -1, -1]"
13,anatomy,0.60546875,0.119140625,0.22265625,0.052978515625,False,C,0.23802709579467773,mmlu_4,"['TEXT', 'TEXT', 'STAT', 'STAT', 'TEXT']","[468043370482394009, 468043370482435242, 468043370482877632, 468043370482792001, 468043370482444487]","[0.8219164609909058, 0.7895164489746094, 0.8343240022659302, 0.828252911567688, 0.8289410471916199]",1,"[-1, -1, -1, -1, -1]"
18,anatomy,0.09716796875,0.2333984375,0.2333984375,0.435546875,True,D,0.2523529529571533,mmlu_4,"['TEXT', 'STAT', 'STAT', 'STAT', 'TEXT']","[468043370482405315, 468043370483073453, 468043370482925019, 468043370482870210, 468043370482407405]","[0.7751201391220093, 0.7525293827056885, 0.7640551924705505, 0.7752543687820435, 0.7485690116882324]",1,"[-1, -1, -1, -1, -1]"
23,anatomy,0.0048828125,0.0012359619140625,0.9921875,0.000377655029296875,True,C,0.34817075729370117,mmlu_4,"['STAT', 'STAT', 'STAT', 'PBMD', 'STAT']","[468043370482837975, 468043370482849544, 468043370482928513, 468043370483815544, 468043370482854282]","[0.7486129403114319, 0.7363963723182678, 0.7424967885017395, 0.7154452204704285, 0.7519347071647644]",1,"[-1, -1, -1, -1, -1]"
28,anatomy,0.66015625,0.2431640625,0.08935546875,0.0078125,True,A,0.3807966709136963,mmlu_4,"['STAT', 'STAT', 'STAT', 'TEXT', 'PBMD']","[468043370482964120, 468043370483049170, 468043370482964122, 468043370482444493, 468043370483908936]","[0.8055614233016968, 0.8389535546302795, 0.8129671216011047, 0.7809059023857117, 0.7669581174850464]",2,"[468043370482444493, 468043370482937211, 468043370483908936, 468043370482792001, 468043370483049170]"
33,anatomy,0.004852294921875,0.00101470947265625,0.0096435546875,0.984375,True,D,0.250032901763916,mmlu_4,"['TEXT', 'TEXT', 'TEXT', 'TEXT', 'STAT']","[468043370482392565, 468043370482459762, 468043370482392585, 468043370482380386, 468043370482534856]","[0.7926440834999084, 0.8073643445968628, 0.80934739112854, 0.8132025003433228, 0.7913939356803894]",1,"[-1, -1, -1, -1, -1]"
38,anatomy,0.369140625,0.173828125,0.369140625,0.087890625,False,C,0.38640403747558594,mmlu_4,"['TEXT', 'STAT', 'STAT', 'PBMD', 'TEXT']","[468043370482394063, 468043370483020868, 468043370482783630, 468043370483212604, 468043370482393981]","[0.7303369045257568, 0.7187904119491577, 0.7206885814666748, 0.7912884950637817, 0.7168625593185425]",3,"[468043370482783630, 468043370483212604, 468043370482393981, 468043370483252907, 468043370483319698]"
43,anatomy,0.96875,0.0089111328125,0.0137939453125,0.01007080078125,True,A,0.20609188079833984,mmlu_4,"['STAT', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370482914831, 468043370482995552, 468043370482937200, 468043370482505676, 468043370482914829]","[0.8955676555633545, 0.8381853699684143, 0.8555715084075928, 0.8525643944740295, 0.8475280404090881]",1,"[-1, -1, -1, -1, -1]"
48,anatomy,0.01239013671875,0.984375,0.00122833251953125,0.00244140625,True,B,0.20273447036743164,mmlu_4,"['PBMD', 'STAT', 'STAT', 'STAT', 'STAT']","[468043370483946273, 468043370482905617, 468043370482927127, 468043370482831022, 468043370482788689]","[0.7162346839904785, 0.7363969683647156, 0.726276159286499, 0.7292101383209229, 0.7267522811889648]",1,"[-1, -1, -1, -1, -1]"
